标题,小区,房厅,面积,朝向,楼层,年份,位置,总价(万),单价(元/平方米)
升龙天汇七号院大两房 两卧朝南 小区人车分流,升龙天汇七号院   ,2室1厅,83.91平米,南 北,33,未知, 月季公园 ,115,13706
人车分流，18年次新房，精装修未住过，业主诚心出售,紫韵丽园   ,3室1厅,89.05平米,南,34,未知, 中原万达 ,120,13476
房子满五不唯一，2019年新装修。带大露台，,中原新城王府东院   ,2室2厅,84.56平米,南,33,未知, 郑州一中 ,108,12772
户型方正，业主诚心卖，楼层好，精装修,乾宏领秀   ,4室2厅,72.64平米,北,14,未知, 帝湖 ,120,16520
三环内 地铁口 低楼层 通透2房 安家好选择,启福中原   ,2室1厅,85.85平米,南 北,5,未知, 儿童公园 ,100,11649
锦艺纯南两房  景观楼层  全天采光,锦艺国际华都濠庭   ,2室1厅,86.13平米,南,29,未知, 热电厂 ,111,12888
小区人车分流次新小区，前面无遮挡，采光无影响,升龙天汇9号院   ,3室1厅,89平米,南,26,未知, 月季公园 ,115,12922
简装修，目前有租户，业主诚心出售，看房方便,保利心语一期   ,3室2厅,86.82平米,东,34,未知, 中原万达 ,100,11519
地铁口 次新房 精装修 人车分流 诚心出售 满五税费低,紫韵丽园   ,3室2厅,89.29平米,南,34,未知, 中原万达 ,120,13440
2014年的房子，3房通透，业主诚心出售，看房方便,方圆经纬社区   ,3室1厅,86.72平米,南,32,未知, 王府井 ,119,13723
三环内  双地铁  南北通透毛坯 满五唯一 视野开阔,和昌湾景国际   ,3室1厅,89.73平米,南 北,25,未知, 儿童公园 ,107,11925
方圆经纬 精装两房 中间楼层采光好 诚心出售 欢迎咨询,方圆经纬社区   ,2室2厅,84.52平米,南,31,未知, 王府井 ,108,12779
方圆经纬社区 2室2厅 南 北,方圆经纬社区   ,2室2厅,84.99平米,南 北,31,未知, 王府井 ,120,14120
三环内  双地铁  南北通透毛坯 满五唯一 视野开阔,和昌湾景国际   ,3室1厅,89.73平米,南 北,25,未知, 儿童公园 ,107,11925
南北两居 精装修 好楼层 保利开发,保利心语一期   ,2室1厅,85.77平米,南 北,33,未知, 中原万达 ,107,12476
此房不唯一，有个税，单机低，伊河路,中原新城学府小区   ,1室1厅,73.33平米,西,30,未知, 郑州晚报社 ,116,15819
方圆经纬 精装两房 中间楼层采光好 诚心出售 欢迎咨询,方圆经纬社区   ,2室2厅,84.52平米,南,31,未知, 王府井 ,108,12779
小高层小区，户型好双气两房，全部朝南全明户型,九龙城龙栖尚都   ,2室2厅,89.86平米,南,18,未知, 五龙口 ,102,11351
精装两室 诚心出售 看房方便楼层好,升龙天汇9号院   ,2室2厅,88.65平米,南 北,34,未知, 月季公园 ,100,11281
方圆经纬二期精装三居室，闹中取静，产权清晰随时可看,方圆经纬二期   ,2室2厅,77.73平米,南,32,未知, 王府井 ,110,14152
月季公园  双气3房 中间楼层 看房比较方便。,升龙天汇9号院   ,3室2厅,89.15平米,南 北,32,未知, 月季公园 ,105,11778
天誉龙邸，精装下沉复式，双卫可用面积大，配套齐全！,天誉龙邸北区   ,3室2厅,73.15平米,东 西,14,未知, 五龙口 ,114,15585
大两房改三房，2019年小区，人车分流，出行方便,金水世纪城   ,3室1厅,81.03平米,南 北,33,未知, 五龙口 ,108,13329
户型方正，采光好，洋房社区，精装修,正商金域世家   ,2室1厅,89.73平米,南,29,未知, 五龙口 ,105,11702
次新小区，人车分离，建通方便，双气带电梯,正商金域世家   ,2室1厅,89.33平米,东南,34,未知, 五龙口 ,108,12091
锦绣城84平精装三房 露台100多平方 诚心出售 有钥匙,盛润锦绣城东院   ,3室1厅,84.27平米,南,31,未知, 王府井 ,119,14122
朝南小三房，税费低，密度小，国企开发，居住素质高,梧桐新语   ,2室2厅,85.69平米,南,34,未知, 五龙口 ,103,12021
保利心语小区，人车分离，环境好，住户素质高,保利心语一期   ,2室2厅,88.12平米,东,34,未知, 中原万达 ,115,13051
户型方正，纯朝南户型，配套齐全,正商金域世家   ,2室1厅,89.59平米,南,34,未知, 五龙口 ,103,11520
房子户型方正，产权清晰，满五年税费低，精装拎包入住,正商明钻一期   ,2室1厅,87.57平米,南,27,未知, 五龙口 ,100,11420
金水路旁   次新小区 人车分流  户型方正 精装修 急售房主自荐,正商金域世家   ,2室2厅,89.38平米,南 北,34,未知, 五龙口 ,107,11972
锦艺旁，多层一楼，通透两室，近地铁，,棉纺西路小区   ,2室1厅,88.33平米,南 北,6,未知, 热电厂 ,108,12227
业主诚心出售，小区环境优美，人车分离，万达旁,保利心语一期   ,2室1厅,86.62平米,东,33,未知, 中原万达 ,110,12700
农业路旁 双气 精装 小三室 业主急售 可上育才,天誉龙邸北区   ,3室1厅,86.84平米,东,33,未知, 五龙口 ,100,11516
保利心语次新小区人车分流交通便利,保利心语一期   ,2室2厅,80.04平米,南,34,未知, 中原万达 ,120,14993
全款房，无户口，过户快，房屋保持干净，看房效果好,正商金域世家   ,2室2厅,89.3平米,南 北,34,未知, 五龙口 ,109,12207
经典小三房  农业路二环内 月季公园地铁站 育红,升龙天汇9号院   ,3室1厅,89.78平米,南,33,未知, 月季公园 ,100,11139
次新小区，双气电梯房，出门快速路，生活配套齐全,天誉龙邸北区   ,2室1厅,86.82平米,西,33,未知, 五龙口 ,100,11519
双地铁口 18年次新小区 人车分流 诚心出售房主自荐,紫韵景园   ,3室2厅,88.69平米,南 北,34,未知, 中原万达 ,105,11839
方圆经纬社区 2室1厅 南,方圆经纬社区   ,2室1厅,78.96平米,南,29,未知, 王府井 ,103,13045
17年人车分流，精装修，税费少，看房方便，拎包入住,升龙天汇9号院   ,3室2厅,89.15平米,南,32,未知, 月季公园 ,115,12900
房子满五年，业主自住，小高层居住舒服。,保利百合   ,2室1厅,80.53平米,南,13,未知, 热电厂 ,118,14653
龙腾西城，纯南户全明两房，满五唯一，配套齐全！,九龙城龙腾西城   ,2室2厅,89.76平米,南,34,未知, 五龙口 ,116,12924
大两房改三房，2019年小区，人车分流，出行方便,金水世纪城   ,3室1厅,81.03平米,南 北,33,未知, 五龙口 ,108,13329
方圆经纬二期精装三居室，闹中取静，产权清晰随时可看,方圆经纬二期   ,2室2厅,77.73平米,南,32,未知, 王府井 ,110,14152
天誉龙邸，精装下沉复式，双卫可用面积大，配套齐全！,天誉龙邸北区   ,3室2厅,73.15平米,东 西,14,未知, 五龙口 ,114,15585
奥体世纪旁 植物公园旁  高品质小区,永威泰和璟苑   ,3室2厅,88.76平米,南,34,未知, 常西湖 ,120,13520
碧沙岗公园 地铁1号线 小区环境好安静,盛润锦绣城西院   ,2室1厅,78.02平米,西北,32,未知, 王府井 ,110,14099
纯南小三房 业主急售  无遮挡  随时看房,升龙天汇1号院   ,3室1厅,88.63平米,南 北,33,未知, 五龙口 ,103,11622
12年小区，地铁口，出行方便，价位还可以再谈,清水湾   ,2室2厅,79.8平米,西,22,未知, 儿童公园 ,105,13158
交通便利，出行方便，产权清晰，户型方正，温馨舒适，,盛润锦绣城西院   ,2室1厅,82.43平米,南 北,32,未知, 王府井 ,119,14437
地铁口 永威泰和璟苑 89平方正毛坯三房 诚心出售,永威泰和璟苑   ,3室2厅,88.75平米,南 北,34,未知, 常西湖 ,105,11831
伊河路19两房，可商贷款，保养干净，业主诚心出售。,林山寨村   ,2室2厅,77.16平米,南 北,7,未知, 郑州晚报社 ,120,15553
此房已满五年 精装修可直接拎包入住 诚心出售,升龙天汇3号院   ,3室1厅,88.55平米,西,33,未知, 五龙口 ,103,11632
婚房装修，满五唯一，拎包入住.,九龙城龙腾西城   ,3室1厅,88.92平米,南 北,33,未知, 五龙口 ,100,11247
楼层好，视野开阔 全天采光 满五年唯一,锦艺国际华都濠庭   ,2室1厅,85.79平米,南 北,29,未知, 热电厂 ,120,13988
三环内 18年新小区 环境好 近地铁,五建新街坊1号院   ,3室1厅,88.04平米,南,33,未知, 热电厂 ,108,12268
建业开发，今年精装修交房 人车分离，楼层好，采光好,建业盛悦府   ,2室2厅,72.92平米,东,34,未知, 五龙口 ,105,14400
二环内精装修双气满五唯一业主诚心急售,中原新城观澜一号   ,2室1厅,86.93平米,北 南,32,未知, 电力新村 ,106,12194
此房满五，精装修采光好，前面没遮挡，看房方便,保利百合   ,2室1厅,79.17平米,西南,34,未知, 热电厂 ,116,14653
花园社区 近地铁 洋房带电梯 视野宽阔采光好,新禧园   ,2室2厅,79.8平米,南,18,未知, 热电厂 ,100,12532
升龙天汇九号院朝南双气两房 产权清晰,升龙天汇9号院   ,2室1厅,84.71平米,南,34,未知, 月季公园 ,118,13930
王 府西院 精装两房 满五唯一 不临大路 闹中取静房主自荐,中原新城王府西院   ,2室2厅,88.3平米,南,34,未知, 郑州一中 ,102,11552
业主诚心卖 毛坯房随意装修 价格还能商量 看房随时,金水世纪城   ,3室2厅,86.93平米,南,34,未知, 五龙口 ,110,12654
三环内，央企开发，人车分流次新小区，得房率高房主自荐,保利百合   ,2室1厅,86.57平米,南,32,未知, 热电厂 ,100,11552
地铁一号五一公园80平全新装修仅售115万看房方便,方圆经纬社区   ,2室1厅,79.11平米,南,31,未知, 王府井 ,108,13652
次新小区，城开绿园精装三室两厅拎包入住房主自荐,城开绿城绿园   ,3室2厅,87.89平米,东南,32,未知, 五龙口 ,107,12175
锦艺大两房，诚心出售，户型方正，视野开阔，看房方便,锦艺国际华都濠庭   ,2室1厅,85.79平米,南,29,未知, 热电厂 ,105,12240
次新小区 地铁口 户型方正 全款,五建新街坊5号院   ,3室1厅,89.36平米,南,34,未知, 热电厂 ,119,13317
纯南两房，户型好，采光不错，配套齐全，诚心出售,惠众西城一品   ,2室1厅,80.76平米,西南,33,未知, 热电厂 ,105,13002
23年新小区，位置好，楼层好，户型方正两室，急卖！,华润琨瑜府   ,2室2厅,80.53平米,南,34,未知, 热电厂 ,108,13412
业主诚心出售，精装修，小高层有钥匙，看房戴鞋套,保利百合   ,2室2厅,87.24平米,东南,14,未知, 热电厂 ,120,13756
农业高架 地铁五号线 简装双气两房 全明户型拎包入住房主自荐,升龙天汇9号院   ,2室2厅,77.77平米,东北,32,未知, 月季公园 ,105,13502
双气，次新小区，人车分流，南北朝向，带车位带地下室,运河上城   ,3室2厅,89.07平米,东,32,未知, 常西湖 ,109,12238
户型方正 品质高 物业负责 环境漂亮,永威金桂苑   ,3室2厅,89.3平米,南,30,未知, 常西湖 ,112,12542
永威西郡二期 一级物业 中高楼层 采光好,永威泰和璟苑   ,3室2厅,89.47平米,南,34,未知, 常西湖 ,105,11736
伊河路、94年可商贷、能停车、书香门第、有绿化,中原西路215号院   ,2室2厅,77.44平米,南 北,8,未知, 郑州晚报社 ,110,14205
户型方正，业主诚心出售，奥体旁，,永威金桂苑   ,3室2厅,89.57平米,南,29,未知, 常西湖 ,110,12281
不临高架 户型方正 好楼栋好楼层全新毛坯,汇泉城3号院   ,3室2厅,85.85平米,南 北,33,未知, 常西湖 ,102,11882
永威品质小区南看植物园北望大运河东挨奥体西邻地铁口,永威金桂苑   ,3室2厅,89.3平米,南,30,未知, 常西湖 ,105,11759
业主诚心出售，精装修，小高层有钥匙，看房戴鞋套,保利百合   ,2室2厅,87.24平米,东南,14,未知, 热电厂 ,120,13756
农业高架 地铁五号线 简装双气两房 全明户型拎包入住房主自荐,升龙天汇9号院   ,2室2厅,77.77平米,东北,32,未知, 月季公园 ,105,13502
品质小区 交通便利 配套齐全 花园社区,正商金域世家   ,2室2厅,89.55平米,南,34,未知, 五龙口 ,102,11391
房子地铁口三居室户型方正产权清晰,方圆经纬二期   ,3室1厅,82.65平米,南,33,未知, 王府井 ,114,13794
阳光花苑精装修，纯南户型大两房，,阳光花苑   ,2室2厅,89.27平米,南,24,未知, 中原万达 ,118,13219
林山寨 南北通透两室  双气 1996年,林山寨村   ,2室1厅,77.23平米,南 北,7,未知, 郑州晚报社 ,120,15539
地铁8号线（在建）建业开发业主急售精装修,建业盛悦府   ,2室1厅,72.92平米,东南,34,未知, 五龙口 ,110,15086
升龙天汇九号院 精装双气业主诚心出售 正常税,升龙天汇9号院   ,3室2厅,89.12平米,南,31,未知, 月季公园 ,110,12343
业主急售，装修比较好，楼层好，满五不唯一,盛润锦绣城西院   ,2室1厅,78.02平米,南 北,32,未知, 王府井 ,105,13459
农业路二环内 月季公园旁 育红 双气新小区 诚心出售,升龙天汇9号院   ,3室1厅,88.42平米,南 北,31,未知, 月季公园 ,108,12215
14年次新房，公园地铁口，采光视野好，配套齐交通方便,公园壹号   ,2室1厅,85.53平米,西南,33,未知, 儿童公园 ,101,11809
三环内主城区 次新小区人车分流 全新精装 拎包入住房主自荐,金水世纪城   ,2室1厅,76.39平米,东,32,未知, 五龙口 ,120,15709
方圆经纬花园 地铁五一公园 业主诚心出售 看房方便,方圆经纬社区   ,2室2厅,79.65平米,南,28,未知, 王府井 ,109,13685
外小 外中 融信奥体世纪 89平方正毛坯三房 诚心出售,融信融园   ,3室1厅,89.55平米,东南 南,34,未知, 常西湖 ,108,12061
