标题,小区,房厅,面积,朝向,楼层,年份,位置,总价(万),单价(元/平方米)
店长主推，户型好，配套成熟，近地铁，交通便利必看好房,金桥一方   ,2室2厅,88.81平米,南,7,2005, 金桥 ,599,67448
地杰三期经典两房，户型方正，楼层位置好看房有钥匙必看好房,地杰国际城D街坊   ,2室2厅,80.25平米,南,18,2009, 御桥 ,567,70655
三林11号线中楼层2房边户税费少诚意出售必看好房,明丰花园   ,2室1厅,86.25平米,南,6,2002, 三林 ,569,65972
电梯房 可自住 位置好楼层佳 南北通 朝南大落地窗必看好房,罗山花苑   ,2室1厅,76.11平米,南 北,6,1998, 碧云 ,740,97228
前滩旁6/811/19四轨 全明低总价两房 不靠路 喜欢您来必看好房,岭南苑(凌兆路127弄)   ,2室2厅,87.68平米,南 北,6,2002, 三林 ,550,62729
南北直通2房，方正户型，19号线在建！必看好房,光鸿苑   ,2室2厅,89.49平米,南 北,6,2002, 南码头 ,658,73528
张江南+满五+南北+楼层佳+电梯房+建平必看好房,绿洲康城亲水湾(东区)   ,2室2厅,89.77平米,南,15,2010, 御桥 ,539,60043
新上电梯高区两房 南北通透格局 近地铁税费少 急售,大华锦绣华城(四街区)   ,2室1厅,83.96平米,南 北,18,2010, 北蔡 ,618,73607
金色中环6/11号线+电梯中层+精装修+中间位置+税费少必看好房,金橘新苑（北区）   ,2室1厅,81.56平米,南,11,2006, 三林 ,580,71114
前滩旁6/811/19四轨 全明低总价两房 不靠路 喜欢您来必看好房,岭南苑(凌兆路127弄)   ,2室2厅,87.68平米,南 北,6,2002, 三林 ,550,62729
位置好楼层佳，南北通透，满五年，装修细节出彩必看好房,仁和都市花园   ,2室2厅,86.7平米,南 北,18,2016, 御桥 ,795,91696
金色中环6/11号线+电梯中层+精装修+中间位置+税费少必看好房,金橘新苑（北区）   ,2室1厅,81.56平米,南,11,2006, 三林 ,580,71114
满五只有1，中楼层河景房，xx没用楼下是公园必看好房,羽北小区   ,3室2厅,77.72平米,南,6,1994, 洋泾 ,580,74627
近地铁，非底非顶业主诚意卖的三房,金桂小区   ,3室1厅,88.22平米,南,6,1994, 花木 ,630,71413
婚房装修好房+户型正气+2号线100米+业主急售+看房方便必看好房,牡丹路399弄   ,3室2厅,89.22平米,南,6,1996, 花木 ,628,70388
小区门口地铁口、中间楼层精装修满五年税费少必看好房,牡丹路399弄   ,3室2厅,89.22平米,南,6,1996, 花木 ,720,80700
无抵押无户口产权清晰业主心态稳定看房随时户型方正必看好房,御桥馨华苑   ,2室1厅,74.01平米,南,6,2004, 御桥 ,530,71612
6号线地铁口电梯高楼层南北通两房两厅！1梯2户,博学家园   ,2室1厅,78.68平米,南 北,11,2010, 杨思前滩 ,569,72319
中楼层+7号线350米+得房率高+价格实惠+诚意出售随时看必看好房,上南花苑一期   ,2室1厅,78.6平米,南,6,1996, 世博 ,528,67176
中海御景熙岸(公寓) 3室1厅 南必看好房,中海御景熙岸(公寓)   ,3室1厅,88.32平米,南,18,2011, 三林 ,525,59443
精装三房  高区无遮挡沿河  不靠高架+8+4共附12平必看好房,保利林语溪(公寓)   ,3室2厅,88.12平米,南,18,2011, 三林 ,518,58784
宜居三林+近地铁+户型南北通+带40平露台必看好房,金橘新苑（南区）   ,2室2厅,84.1平米,南 北,10,2006, 三林 ,560,66588
满五无个税 有地下产权车位 纯人车分流小区 2013房龄,大华锦绣华城(十五街区)   ,2室1厅,75.62平米,南,18,2013, 北蔡 ,689,91114
附12平+背靠公园+俯瞰全景+空调地暖+高区无遮挡,绿地香颂(浦东)(公寓)   ,3室2厅,88.83平米,南,18,2011, 三林 ,530,59665
品质小区，10年商品房，中间楼层，无shui费必看好房,吉利名苑   ,2室1厅,76.74平米,南 北,6,2009, 杨思前滩 ,610,79490
不靠路。电梯一梯两户，楼层优异，楼栋安静，采光十足,大华锦绣华城(四街区)   ,2室1厅,80.76平米,南,18,2010, 北蔡 ,698,86429
满五年，40米会客厅，精装修，拎包入住，随时可谈可签必看好房,保利林语溪(公寓)   ,2室2厅,89.66平米,南,18,2011, 三林 ,502,55990
无增值税，南北通户型，采光通风好，好楼层必看好房,玉兰路81弄   ,2室1厅,78.46平米,南,6,2007, 花木 ,650,82845
商品房、南北大两房、业主诚意出售、看房方便必看好房,黄山二村   ,2室1厅,79.76平米,南,6,1998, 金杨 ,558,69960
近地铁商品房 小区环境好 房子采光通风都很好。,金桥好人家   ,2室2厅,84.6平米,南,6,2001, 金桥 ,520,61466
"@新上，MVP ,都林嘉苑，中间楼层，老业主，Nice必看好房",都林嘉苑南苑(杨南路1168弄)   ,2室2厅,89.21平米,南,5,2002, 杨思前滩 ,539,60420
小区新出好房   飞机户型   梦中情房  楼层好必看好房,栖山家园   ,3室2厅,88.75平米,南 北,6,2003, 金杨 ,736,82930
清水苑二期，满五税少，南北三房户型，位置好。必看好房,金桥湾清水苑   ,3室1厅,82.8平米,南,6,1998, 金桥 ,543,65580
两房朝南小区位置好采光好楼层好房型正，诚意出售必看好房,黄山二村   ,2室1厅,75.75平米,南,6,1998, 金杨 ,566,74720
小区下一套必卖，满五年，精装修的，下一套成交就这套,吉云公寓   ,2室1厅,73.05平米,南,6,1995, 联洋 ,639,87475
张江科学城+21号线+张江双子塔+一梯两户+精装修,华发四季   ,3室2厅,88.8平米,南,18,2017, 张江 ,699,78717
张江东+带阁楼+商品房+得房率高必看好房,保利金爵公寓   ,2室1厅,88.4平米,南,6,2009, 唐镇 ,540,61086
公园旁｜全明方正｜中间楼层｜低价｜双南通透两房必看好房,兰花小区   ,2室2厅,73.25平米,南,6,1994, 花木 ,515,70308
追求无瑕疵的 楼层景观视野好 二房卧室朝南 厅南北通必看好房,毕加索小镇(二期)(公寓)   ,2室2厅,89.64平米,东南,13,2011, 唐镇 ,618,68943
中内环，无遮挡，税费少，7/13双轨，业主诚售必看好房,大华锦绣华城(九街区)   ,2室2厅,88.28平米,南 北,14,2006, 北蔡 ,725,82126
景观南北通2+1户型满五年包含车位中高楼层无遮挡边套必看好房,印象春城   ,2室2厅,89.4平米,南 北,18,2011, 周浦 ,559,62528
金色杨思+前滩板块+电梯中层+好房+业主诚售+m5v1,万科金色里程(公寓)   ,3室2厅,88.97平米,南,18,2010, 杨思前滩 ,790,88794
满五年，税费少，板式户型，全明边套，视野采光好,金恒小区   ,3室1厅,88.17平米,南,6,1995, 北蔡 ,530,60112
天后宫大楼 2室1厅 南,天后宫大楼   ,2室1厅,72.39平米,南,24,1989, 陆家嘴 ,610,84266
精装修，中YANG空调带地暖，高楼层，人车分流,光明·唐镇壹号   ,2室2厅,84.21平米,南,16,2015, 唐镇 ,530,62938
精装修 电梯商品房 挨9+14蓝天路 满五年 不靠马路,金杨公寓   ,2室1厅,85.35平米,西南,24,1996, 金杨 ,570,66784
小区位置安静开阔 采光充足 满五年  业主诚意置换,金杨公寓   ,2室1厅,84.08平米,南,24,1996, 金杨 ,567,67436
前滩辐射区+近地铁三线轨交+诚意出售房主自荐,恒大华城东林苑   ,3室1厅,76.8平米,南 北,6,2002, 杨思前滩 ,637,82943
满五年 近地铁 中间楼层 精品2房,沈家弄路946弄   ,2室2厅,88.53平米,南,7,1997, 洋泾 ,750,84718
建平西 电梯双楠 满五税费少 近地铁 看房方便,浦东大道666号   ,2室1厅,79.81平米,南,12,1991, 梅园 ,780,97733
金色中环，科创园区，一手动迁，免增值税，,颐盛云锦苑   ,2室1厅,73.82平米,南,17,未知, 御桥 ,549,74371
01年低密度商品房   地铁400米   车位1：1房主自荐,爱法新都   ,2室1厅,89.68平米,南,10,2001, 金桥 ,600,66905
近地铁傍公园顶楼不吵中间楼栋不靠路,建华公寓   ,2室2厅,88.34平米,南 北,6,1995, 花木 ,700,79240
世博板块 6/7/13号线三轨道 户型方正 税费少房主自荐,轻工六里小区   ,2室1厅,71.33平米,南,6,1996, 世博 ,542,75985
交通便利 陆家嘴金融区配套住宅 商场配套多,招远小区   ,2室2厅,74.42平米,南,6,1992, 梅园 ,620,83311
金色中环带，18年次新房，只要契税，采光好，配套齐全,绿洲康城亲水湾(中央区)   ,2室1厅,71.83平米,南,20,2017, 御桥 ,505,70305
看江房，全明户型，次顶楼一线看景，采光好，视野佳,东园三村小区   ,2室1厅,83.21平米,南,26,1994, 陆家嘴 ,790,94941
金东名苑东区+07年小区+景观楼层+近公园+视野好+诚售,金东名苑   ,2室2厅,88.34平米,南 北,14,2007, 金桥 ,699,79127
阳光城丽景湾PLUS 2室2厅 南,阳光城丽景湾PLUS   ,2室2厅,88.74平米,南,18,2016, 康桥 ,610,68741
南北大两房，全明户型，看房随时有钥匙,建华公寓   ,2室1厅,88.87平米,南,6,1995, 花木 ,635,71453
动迁一手满五税少+精装婚房带阁楼+近双轨地铁拎包入住,东陆新村五街坊   ,2室1厅,71.31平米,南,6,2003, 金桥 ,534,74885
杨思中环+满五年且v+明珠+05年+税少+位置好+诚意卖,东方滨港园   ,2室1厅,89.94平米,南 北,6,2005, 杨思前滩 ,668,74272
中间楼层，双南满五，总价低，小区中间位置,金樟花苑   ,2室1厅,70.39平米,南,6,1994, 金杨 ,500,71033
商品房＋1梯2户＋次顶楼＋户型好＋小区环境佳+配套好,紫竹馨苑   ,2室1厅,88.46平米,南,6,2002, 世博 ,800,90437
前滩南 精装修，满五唯 一，带花园，南北通透房主自荐,杉林新月环林东路875弄   ,2室2厅,83.48平米,南 北,18,2006, 三林 ,598,71634
前滩旁，电梯高层，南北通户型，满五年税少房主自荐,杉林新月环林东路875弄   ,2室2厅,84.83平米,南 北,18,2006, 三林 ,625,73677
杨思前滩板块-09年商品房-内中环板式两房-公园旁,吉利名苑   ,2室1厅,76.74平米,南,6,2009, 杨思前滩 ,679,88481
精装双南大两室，看房方便，配套成熟房主自荐,金鹏苑   ,2室2厅,82.27平米,南,6,1997, 金桥 ,535,65030
两房南北通透户型，满五年唯1  诚意出售  看房提前约,古桐二村   ,2室2厅,89.82平米,南 北,6,2002, 张江 ,610,67914
2017年次新房，满五年唯 一，税费少，精装修有车位房主自荐,绿洲康城亲水湾(中央区)   ,2室2厅,89平米,东南,18,2017, 御桥 ,630,70787
满五 自主保养好 南北户型  一梯二户 公园和地铁门口房主自荐,张杨南苑   ,2室1厅,70平米,南,6,1995, 洋泾 ,610,87143
杨思地铁站+03年商品房+板式两房+楼层好,华城丽苑   ,2室1厅,87.54平米,南,5,2003, 杨思前滩 ,710,81106
满五年唯，一中间楼层双南户型精装修采光很好,东明苑   ,2室1厅,78.1平米,南,24,1998, 世博 ,580,74264
纯商品房社区 6号线地铁 文峰广场 停车方便 低区房主自荐,中大丽都   ,3室2厅,87.52平米,南,6,2003, 金桥 ,700,79982
无增值税和个税，中间楼层，总价醉低,瑞苑公寓   ,1室2厅,81.39平米,北,40,2001, 梅园 ,799,98170
中环内，09年、电梯房高层、车位充足、13号地铁口,龙博公寓   ,2室1厅,78.86平米,南,11,2009, 北蔡 ,625,79255
中环前滩旁，靠河景观位置，板式南北通两房，采光好,源城锦翠苑   ,2室1厅,73.29平米,南 北,6,2006, 杨思前滩 ,550,75045
陆家嘴800万买电梯三房 高区可看黄浦江 诚心卖,上船大楼   ,3室1厅,88.13平米,东南,26,1995, 梅园 ,800,90775
真正好房南北通 前后无遮挡 楼层好位置佳 北看三件套,绿地香颂(浦东)(公寓)   ,3室2厅,88.75平米,南 北,18,2011, 三林 ,633,71324
精装修高区双南两房，视野开阔，拎包入住。,地杰国际城D街坊   ,2室1厅,84.8平米,南,27,2009, 御桥 ,633,74647
林梅小区 3室2厅 南,林梅小区   ,3室2厅,82.91平米,南,6,1994, 三林 ,538,64890
配套成熟 满五年 诚意出售 价格可以协商 看房随时约,开发浦东   ,2室1厅,76.37平米,南,25,1991, 潍坊 ,668,87469
7号/13号双轨，一梯两户南北通透+户型正气+采光充足,文化馨苑   ,2室2厅,76.24平米,南 北,6,2004, 北蔡 ,628,82372
南北两房  低楼层 税费少   精装修 拎包入住,杉林新月环林东路875弄   ,2室1厅,84.82平米,南 北,18,2006, 三林 ,543,64018
地铁700米，出行方便，户型方正，业主诚意急售,绿川家园   ,2室2厅,85.07平米,南 北,6,2002, 北蔡 ,550,64653
13号线400米，一手动迁，纯毛坯，位置好，税费少。,鹏宏苑   ,2室2厅,89.33平米,南 北,6,2009, 北蔡 ,620,69406
三林板块+近11号线三林东站+新达汇大型广场,盛源公寓   ,2室2厅,86.13平米,南 北,6,2003, 三林 ,640,74307
满五唯Ⅰ、双南两房、高层采光、 价格可谈、诚意出售,天后宫大楼   ,2室0厅,72.39平米,南,24,1989, 陆家嘴 ,648,89516
福山小区 两房一厅 看房随时 诚心出售 满五年税少 ！房主自荐,福山小区   ,2室1厅,71.15平米,东南,18,1997, 梅园 ,600,84329
新上好房！一梯两户，近地铁的电梯房，急售！急售！房主自荐,樟盛苑   ,2室2厅,89.78平米,南,14,2012, 张江 ,515,57363
商品房南北两房，精装修居家自住保养好看房子方便,金杨路750弄   ,2室1厅,86.48平米,南,6,1996, 金杨 ,508,58742
浦三锦苑 地铁7/13号线 交通方便 2016年新小区 采光好,浦三锦苑   ,2室2厅,80.78平米,南 北,18,2016, 世博 ,600,74276
张江科学城成熟地段+一手动迁+全明户型+诚意出售,香楠小区   ,3室1厅,88.02平米,南,6,1995, 张江 ,500,56806
建平西，电梯双南两房，精装修 地铁4/14号线双轨交,浦东大道666号   ,2室1厅,80.43平米,南,12,1991, 梅园 ,730,90763
全明两房，看房随时，电梯房大两房，精装修,临沂大楼   ,2室1厅,88.27平米,西南,25,1992, 南码头 ,608,68880
羽山路1000弄 3室1厅 南 北,羽山路1000弄   ,3室1厅,75.84平米,南 北,6,1997, 洋泾 ,650,85707
降价51万+楼下地铁+2012年次新小区+两部电梯+看房钥匙房主自荐,虞泽苑   ,2室2厅,84.41平米,南 北,16,2012, 北蔡 ,579,68594
杨思前滩金色中环品质小区+总价低自住或者放户口,万科新里程   ,1室1厅,72.01平米,南,14,2007, 杨思前滩 ,718,99709
⭐⭐⭐⭐⭐金色中环规划+无增值税无个税+全明户型,新里城和合苑   ,2室1厅,74.64平米,南 北,6,1999, 杨思前滩 ,550,73688
金色杨思+明珠c+价低+诚意+海富幼儿园+急售好房,新里城和合苑   ,2室2厅,75.07平米,南,6,1999, 杨思前滩 ,500,66605
陆家嘴浦东大道双轨旁+70年住宅+房间看江景+地段好,荣成大厦   ,1室2厅,81.42平米,东 东南,28,1997, 梅园 ,750,92115
新杨思+金色中环+万科品质+明珠c+南北通+带院子,万科新里程   ,2室1厅,86.23平米,南,14,2007, 杨思前滩 ,760,88137
近前滩世博2010年商品房+中间花园位置+精装修+非顶楼房主自荐,东旺名苑   ,2室1厅,76.94平米,南 北,6,2010, 杨思前滩 ,698,90721
09年商品房，6楼带阁楼，中间位置。,吉利名苑   ,2室2厅,80.13平米,南 北,6,2009, 杨思前滩 ,728,90853
杨思前滩+2005年商品房+电梯房+满五年+8号线地铁口,成发苑   ,1室1厅,71.46平米,北 南,17,2005, 杨思前滩 ,570,79765
金杨商品房，满五年，一梯两户，三轨地铁,金杨新村十一街坊   ,2室2厅,88.24平米,南 北,6,2000, 金杨 ,580,65730
⭐⭐⭐⭐⭐金色中环规划+无增值税无个税+全明户型,新里城和合苑   ,2室1厅,74.64平米,南 北,6,1999, 杨思前滩 ,550,73688
杨思前滩金色中环品质小区+总价低自住或者放户口,万科新里程   ,1室1厅,72.01平米,南,14,2007, 杨思前滩 ,718,99709
培花七村 2室1厅 南,培花七村   ,2室1厅,80.87平米,南,6,1995, 北蔡 ,570,70484
南国龙苑，一梯两户，小区中间位置不靠路安静，有阁楼,南国龙苑   ,3室2厅,87.82平米,南 北,6,2000, 杨思前滩 ,698,79481
2000年竣工，红色商品房，中楼层，满五年惟一，不临路,金杨新村十一街坊   ,2室2厅,87.52平米,南 北,6,2000, 金杨 ,505,57702
万科金色城市 2室2厅 南房主自荐,万科金色城市   ,2室2厅,78.28平米,南,18,2010, 御桥 ,730,93255
满五年，户型好，环境优美，业主诚意出售,百舸馨苑   ,2室2厅,89.73平米,南 北,6,2004, 御桥 ,600,66868
内环内 配套齐全 三轨交汇 电梯商品房,巨野路109弄   ,2室2厅,71.19平米,南,6,1997, 洋泾 ,597,83861
中间楼层，不靠路，双南采光好，清爽简装，买进高税少,金樟花苑   ,2室2厅,70.39平米,南,6,1994, 金杨 ,500,71033
云台路地铁~高层电梯双南两房急售~看房随时方便房主自荐,上南大厦   ,2室1厅,82.47平米,南,24,1998, 世博 ,580,70329
杨思前滩+纯商品房小区+带花园+诚意售，,都林龙苑   ,2室2厅,88.74平米,南,6,2002, 杨思前滩 ,750,84517
地铁6.8双轨 前滩三房 采光充足 两南一北全明一梯两户,凌兆新村(凌兆路396弄)   ,3室1厅,87.43平米,南,6,1995, 三林 ,500,57189
商品三房改两房，精装修30万，前滩900米，6.8.11三轨房主自荐,恒大华城东林苑   ,3室1厅,76.8平米,南,6,2002, 杨思前滩 ,529,68881
楼层佳，位置好，江边电梯小户型。2007年商品房。房主自荐,东方城市公寓   ,2室1厅,86.38平米,南,22,2007, 洋泾 ,760,87984
户型方正，南北通通风好，楼层采光好，看房方便,东二小区   ,3室1厅,89.12平米,南,5,1997, 金桥 ,585,65642
新上全明两房+双南户型+30万精装修+好楼层+建平+急售房主自荐,金浜小区   ,2室1厅,71.41平米,南,6,1994, 金杨 ,510,71419
南北通大两房  采光好 位置好  税费低房主自荐,玉兰香苑(四期)   ,2室2厅,82.64平米,南,6,2008, 唐镇 ,520,62924
商品房小区，小区品质很不错，绿化多，地铁公园近,金桥名都   ,2室2厅,79.34平米,南,12,2004, 金桥 ,725,91379
上新：正规三房+近世纪大道+不靠路+满五房主自荐,竹园高层   ,3室1厅,79.23平米,南,26,1992, 源深 ,645,81409
户型好房东诚意出售提前预约看房子,古桐二村   ,2室2厅,89.82平米,南 北,6,2002, 张江 ,618,68805
竹园高层 3室1厅 东,竹园高层   ,3室1厅,85.74平米,东,26,1992, 源深 ,580,67647
刚需户型 次新品质小区 业主诚意出售,浦发罗兰翡丽   ,2室2厅,80.21平米,南,16,2017, 唐镇 ,750,93505
"商品房，近地铁,近商场，户型好",盛源公寓   ,2室2厅,86.64平米,南,6,2003, 三林 ,640,73869
新上全明两房+双南户型+30万精装修+好楼层+建平+急售房主自荐,金浜小区   ,2室1厅,71.41平米,南,6,1994, 金杨 ,510,71419
南北通大两房  采光好 位置好  税费低房主自荐,玉兰香苑(四期)   ,2室2厅,82.64平米,南,6,2008, 唐镇 ,520,62924
"商品房，近地铁,近商场，户型好",盛源公寓   ,2室2厅,86.64平米,南,6,2003, 三林 ,640,73869
新上大两房 精装修 一梯两户 次顶楼 花苑位置,罗山八村   ,2室2厅,81.85平米,南,6,1996, 金杨 ,510,62310
上新：正规三房+近世纪大道+不靠路+满五房主自荐,竹园高层   ,3室1厅,79.23平米,南,26,1992, 源深 ,645,81409
商品三房改两房，精装修30万，前滩900米，6.8.11三轨房主自荐,恒大华城东林苑   ,3室1厅,76.8平米,南,6,2002, 杨思前滩 ,529,68881
地铁6.8双轨 前滩三房 采光充足 两南一北全明一梯两户,凌兆新村(凌兆路396弄)   ,3室1厅,87.43平米,南,6,1995, 三林 ,500,57189
云台路地铁~高层电梯双南两房急售~看房随时方便房主自荐,上南大厦   ,2室1厅,82.47平米,南,24,1998, 世博 ,580,70329
中间楼层，不靠路，双南采光好，清爽简装，买进高税少,金樟花苑   ,2室2厅,70.39平米,南,6,1994, 金杨 ,500,71033
杨思前滩+纯商品房小区+带花园+诚意售，,都林龙苑   ,2室2厅,88.74平米,南,6,2002, 杨思前滩 ,750,84517
"楼层好,采光好,位置安静,商品房,厨卫全明",云莲苑   ,2室1厅,82.34平米,南,7,1998, 世博 ,602,73112
电梯高层+此房满五年不v1+双南两房,上南二村洪高小区   ,2室1厅,75.89平米,南,16,1989, 世博 ,520,68521
南北两房，楼层好，采光好无遮挡，停车方便。,东盛公寓   ,2室2厅,82.77平米,南,7,1998, 世博 ,530,64033
近前滩，2011年商品房，附加8平，采光视野开阔,绿地香颂(浦东)(公寓)   ,2室1厅,87.84平米,南,18,2011, 三林 ,540,61476
陆家嘴滨江旁 电梯高区两房 西南朝向 满五且一随时看,滨康大楼   ,2室1厅,76.17平米,南 西,18,1995, 陆家嘴 ,520,68269
前滩辐射+精装+全明户型+看房方便+业主诚心房主自荐,凌兆新村(凌兆路726弄)   ,3室1厅,89.2平米,南 北,6,1995, 三林 ,520,58296
近地铁，一手动迁，看房方便，业主诚意出售房主自荐,申城佳苑一期A块   ,2室2厅,88.52平米,南,16,未知, 张江 ,520,58744
影城小筑 2室1厅 南,影城小筑   ,2室1厅,83.19平米,南,6,1999, 花木 ,665,79938
近地铁6号线 金桥新村四街坊 店长推荐 看房子方便,金桥新村四街坊   ,3室1厅,86.77平米,南,6,1998, 金桥 ,580,66844
房东诚意出售，南北大两房，全明户型，看房随时有钥匙,建华公寓   ,2室1厅,88.87平米,南,6,1995, 花木 ,629,70778
花木板块+2001年房龄+带阁楼+交通便利,芳草路253弄   ,2室1厅,76.38平米,南,6,2001, 北蔡 ,585,76591
金色中环带6/11号线+精装修+NICE位置+朝南性 价比两房,金禾新苑   ,2室1厅,71.06平米,南,11,2006, 三林 ,518,72897
清水苑三期 房源满5年 模范 非标2＋1户型 配套成熟,金桥湾清水苑   ,2室2厅,76.02平米,南,6,1998, 金桥 ,530,69719
品质商品房，非底楼，可看小区花园采光充足房主自荐,尼德兰花园(二期)   ,2室2厅,88.31平米,南,13,2016, 外高桥 ,548,62055
2012低密度洋房社区带电梯中间楼层三房，边套靠河景,东方御水湾   ,3室2厅,88.53平米,南 北,6,2012, 御桥 ,690,77940
满五年W一没有 个税，采光好，有钥匙随时看房主自荐,建中路171弄   ,3室1厅,85.76平米,南,6,1993, 张江 ,560,65299
电梯版式两房，精装修领包入住，南北直通户型,永泰花苑   ,2室2厅,83.39平米,南 北,18,2005, 三林 ,585,70153
三林前滩+地铁6/11号线+满五年有车位房主自荐,金地湾流域（二期569弄）   ,2室2厅,89.08平米,南,14,2009, 三林 ,758,85093
急售江景好房  建平一梯  精装修带稳定租约,金隆置地大厦   ,1室1厅,73.84平米,北,31,2003, 梅园 ,698,94529
商品社区，近地铁，南北通透户型房主自荐,明丰花园   ,2室2厅,84.15平米,南 北,6,2003, 三林 ,530,62983
房东诚意出售，南北大两房，全明户型，看房随时有钥匙,建华公寓   ,2室1厅,88.87平米,南,6,1995, 花木 ,629,70778
花木苑南北通两房，精装有钥匙，楼层好采光强,花木苑   ,2室2厅,74.45平米,南 北,6,2000, 花木 ,665,89322
金和佳园2003年商品房，带院子，不靠路，近地铁9号线,金和佳园   ,2室2厅,88.9平米,南,6,2003, 金桥 ,650,73116
南北通两房，楼间距开阔，楼层好，随时看房，诚意出售,金葵新城(西区)   ,2室2厅,84.26平米,南 北,18,2012, 金桥 ,560,66461
挑高阁楼带天窗附面积35平加得房率高四轨交通有钥匙房主自荐,绿景苑   ,2室2厅,87.55平米,南,6,2000, 金桥 ,562,64192
近地铁6号线 金桥新村四街坊 店长推荐 看房子方便,金桥新村四街坊   ,3室1厅,86.77平米,南,6,1998, 金桥 ,580,66844
次新小区，洋房社区，中外环，人车分流，户型正气,绿洲康城亲水湾风华   ,2室2厅,75.48平米,南 北,8,2022, 御桥 ,639,84659
公园旁 双轨交通 楼层好 位于小区央座 全明 诚意出售,东陆新村五街坊   ,3室1厅,77.85平米,南,6,2003, 金桥 ,518,66539
新上房源 位置好 全明户型 诚意出售 装修可以直接入住房主自荐,尼德兰花园(二期)   ,2室1厅,88.31平米,南,13,2016, 外高桥 ,500,56619
05年商品房，地铁口50米，好楼层，固定租赁车位。房主自荐,莲怡苑   ,2室1厅,82.6平米,南,5,2005, 北蔡 ,608,73608
中环内 小区配套齐全 居家装修 看房基本方便,三林世博家园(新浦路251弄)   ,2室1厅,78.8平米,南,6,2006, 杨思前滩 ,508,64468
张江南！精装+复式大三房！花园位置 业主诚意,三林世博家园(新浦路251弄)   ,3室2厅,75.08平米,南,6,2006, 杨思前滩 ,510,67928
房东诚意出售  浦三路地铁站  看房方便,明丰花园   ,2室1厅,83.56平米,南 北,6,2002, 三林 ,550,65821
高区双南两房 视野开阔可看江  二次全屋精装拎包住,滨江大楼   ,2室1厅,78.72平米,南,24,1997, 陆家嘴 ,620,78761
滨康大楼 2室1厅 西南,滨康大楼   ,2室1厅,76.17平米,西南,18,1995, 陆家嘴 ,650,85336
诚心出售，户型方正，南北通，楼层佳,金芝苑   ,2室2厅,88.65平米,南,6,1997, 金杨 ,538,60689
